,title_id,title,date_added,release_year,rating,duration,description
228,80227777,Cardboard Gangsters,09/15/2018,2016,TV-MA,92,"A low-level drug dealer decides to move up the ranks of the illegal narcotics trade in Darndale, Dublin, putting him and his gang on a violent path."
229,81018233,Eeda,09/15/2018,2018,TV-14,153,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.
230,81016317,Galih dan Ratna,09/15/2018,2017,TV-PG,111,Sparks fly between the new girl at school and the misfit with a passion for music. Yet the world threatens to put a stop to their innocent love song.
231,81016337,Gie,09/15/2018,2005,TV-14,141,Indonesian activist Soe Hok Gie experiences a political awakening during the tumultuous regimes of Suharto and Sukarno. Inspired by true events.
232,81018234,​Goli Soda 2,09/15/2018,2018,TV-MA,128,"A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers."
235,81018241,Jugaad,09/15/2018,2017,TV-14,52,"Following the stories of five diverse individuals, this documentary offers a glimpse into the indomitable tenacity of several Mumbai residents."
236,81018235,​Maj Rati ​​Keteki,09/15/2018,2017,TV-14,117,"A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
237,81018236,​Mayurakshi,09/15/2018,2017,TV-14,100,"When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them."
238,81018237,Red Oleanders Raktokarobi,09/15/2018,2017,TV-14,112,"When a theater group stages a production of a Rabindranath Tagore play, they begin to notice parallels between the story and their own lives."
239,81018238,Samantaral,09/15/2018,2017,TV-MA,110,"On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years."
240,81016339,The Secret,09/15/2018,2018,TV-MA,98,"Learning that her father has married a woman her own age, Kanaya leaves home, only to get into an accident that lands her in a haunted hospital."
241,80067522,First They Killed My Father,09/15/2017,2017,TV-MA,137,A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.
242,80192149,Gagarin: First in Space,09/15/2017,2013,TV-14,108,This biopic of Russian cosmonaut Yuri Gagarin follows his rise from childhood poverty to his selection and training for the 1961 Vostok mission.
243,80142637,Janaan,09/15/2017,2016,TV-14,132,"After 11 years in Canada, young Meena returns to her native Pakistan for a family wedding and becomes romantically entangled with an adopted cousin."
244,80192014,Larceny,09/15/2017,2017,TV-14,87,An ex-CIA contractor turned thief is forced to head a CIA gambit to infiltrate a black ops Mexican prison and steal $50 million in drug cartel money.
245,80192015,Rumble,09/15/2017,2016,TV-MA,92,"An ex-MMA champion reduced to fixing fights in Mexico must win one last match to save his girlfriend, who's been kidnapped by the mob."
246,80168230,Strong Island,09/15/2017,2017,TV-MA,108,"The forces of family, grief and racial injustice converge in this powerful documentary exploring the murder of filmmaker Yance Ford's brother."
248,80088910,Natural Born Pranksters,09/15/2016,2016,R,91,"The biggest pranksters on YouTube – VitalyzdTV, Dennis Roady and Roman Atwood – turn Hollywood into ""Prankwood"" with their most over-the-top stunts."
249,70290909,Sample This,09/15/2016,2012,TV-14,83,"This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it."
251,80033772,Cowspiracy: The Sustainability Secret,09/15/2015,2014,NR,90,Learn how factory farming is decimating the planet's natural resources – and why this crisis has been largely ignored by major environmental groups.
252,81093951,Oh! Baby,09/14/2019,2019,TV-14,157,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
253,80238013,The Crystal Calls Making the Dark Crystal: Age of Resistance,09/14/2019,2019,TV-PG,83,"Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life in a sweeping fantasy series."
254,81089941,We Have Always Lived in the Castle,09/14/2019,2018,TV-14,95,The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.
255,81000011,Bangkok Hell,09/14/2018,2002,TV-MA,107,"When offered a deal to snitch on fellow prisoners, an inmate faces a tough dilemma: act in his own interest, or help those who may need him."
257,80217733,Bleach,09/14/2018,2018,TV-14,109,"When high schooler Ichigo is suddenly given reaper abilities, he really wants to give the powers back. But he'll have to reap some souls first."
261,80999985,Still,09/14/2018,2010,TV-MA,100,"A haunted hotel, a body in a water tank, a nightclub fire and a prison death comprise four horror tales taken from Thailand's newspaper headlines."
263,80188120,The Angel,09/14/2018,2018,TV-MA,114,"As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage."
264,80164779,The Land of Steady Habits,09/14/2018,2018,TV-MA,98,"After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life."
266,81092328,American Warfighter,09/13/2019,2019,TV-MA,106,"A Navy SEAL haunted by wartime memories tries to rebuild his life at home, even as one last mission threatens to unravel everything."
267,81183572,Deviant Love,09/13/2019,2019,TV-14,87,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives."
268,81037283,Head Count,09/13/2019,2018,TV-MA,90,A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.
269,80244973,"Hello, Privilege. It's Me, Chelsea",09/13/2019,2019,TV-MA,65,"In this documentary, Chelsea Handler explores how white privilege impacts American culture – and the ways it’s benefited her own life and career."
271,81132438,Locked on You,09/13/2019,2018,TV-14,105,"When his chatty nature lands him in trouble, an unlucky meatball seller flees Istanbul and finds a new life on a beautiful island."
274,81161230,Shanghai Fortress,09/13/2019,2019,TV-14,107,A young man falls for a heroic general and soon follows her footsteps as humans defend Earth against extraterrestrials seeking a precious energy source.
275,81002412,Tall Girl,09/13/2019,2019,TV-PG,103,"After years of slouching through life, 6-foot-1 teen Jodi resolves to conquer her insecurities and gets caught up in a high school love triangle."
276,81023636,Time Trap,09/13/2019,2018,TV-14,88,"While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface."
279,80192834,Reversing Roe,09/13/2018,2018,TV-14,100,"Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade."
280,80198046,Ghost of the Mountains,09/13/2017,2017,G,78,An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards.
281,80106307,Extremis,09/13/2016,2016,TV-PG,25,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices."
284,70267728,Turbo,09/12/2019,2013,PG,96,A speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed.
286,81001000,On My Skin,09/12/2018,2018,TV-MA,100,"Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events."
287,80192445,Heroin(e),09/12/2017,2017,TV-14,40,"This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic."
288,80158670,Jeff Dunham: Relative Disaster,09/12/2017,2017,TV-MA,71,Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.
291,80244019,The Resistance Banker,09/11/2018,2018,TV-MA,123,"Risking his family and future, a banker in occupied Amsterdam slows the Nazi war machine by creating an underground bank to fund the resistance."
292,80162143,The Forgotten,09/11/2017,2014,TV-MA,89,"After a teenager goes to live with his father in abandoned public housing, he hears strange noises and decides to investigate with his new friend."
293,81060174,Bill Burr: Paper Tiger,09/10/2019,2019,TV-MA,67,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London."
294,70130445,Eat Pray Love,09/10/2019,2010,PG-13,140,"After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love."
295,80216928,Evelyn,09/10/2019,2019,TV-MA,96,"Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing."
296,81001494,Our Godfather,09/10/2019,2019,TV-MA,93,"In 1986, Tommaso Buscetta became the first top-level Mafia boss ever to testify against the mob. It cost him and his family everything."
298,80991570,"My Teacher, My Obsession",09/10/2018,2018,TV-14,86,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation."
299,80184129,68 Kill,09/01/2019,2017,R,96,A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.
300,60000861,American Psycho,09/01/2019,2000,R,102,"With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges."
301,1151375,Dante's Peak,09/01/2019,1997,PG-13,108,"When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives."
302,81137484,Elena,09/01/2019,2012,TV-14,81,"In this documentary, the director remembers a sister who left behind her life under Brazil’s dictatorship and moved to New York with dreams of acting."
303,80187228,First Kill,09/01/2019,2017,R,102,"A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime."
304,81031008,For the Birds,09/01/2019,2018,TV-MA,93,"A woman with a passion for fowl keeps a menagerie of birds that draws the ire of neighbors, animal rights advocates and even her own family."
305,70099119,Igor,09/01/2019,2008,PG,87,"Igor, the brilliant but deformed assistant to mad Dr. Glickenstein, dreams of winning the Evil Science Fair and the heart of village beauty Gretchen."
306,70039185,Just Friends,09/01/2019,2005,PG-13,94,"Years after high school, a once-portly nice guy comes home for the holidays and reunites with a former crush he still has feelings for."
308,81165769,Mokalik (Mechanic),09/01/2019,2019,TV-14,100,A young boy's life shifts when he's sent to work at a mechanic's shop far from his suburban home until an opportunity forces him to make a tough choice.
309,70056433,Mr. Woodcock,09/01/2019,2007,PG-13,88,"When a self-help author learns that his mother has fallen for his sadistic high school gym teacher, he tries to put a stop to their budding romance."
