,title_id,country
1,81177504,Norway
0,80175798,United States
0,80216094,United States
0,80227995,United States
1,80227995,Sweden
0,80239961,China
1,80239961,Morocco
2,80239961,Hong Kong
0,80219019,India
0,81062293,United States
0,80235524,United States
0,81140259,Mexico
0,80241855,United States
0,81215481,India
0,80147529,United States
0,81018860,United States
0,80217495,Uruguay
0,80141787,Mexico
0,80109415,United States
0,80049871,United States
0,81218079,United States
0,60028294,United States
0,80125671,United States
0,80198001,South Korea
0,80174220,United States
0,80126449,United States
0,80103512,Spain
0,80199051,Japan
0,80198545,Canada
0,60020948,United States
0,70235384,United States
0,569355,United States
0,81208888,China
0,60022645,United States
1,60022645,United Arab Emirates
0,80235857,Spain
0,80196379,Spain
1,80196379,Belgium
2,80196379,Switzerland
3,80196379,United States
4,80196379,China
5,80196379,United Kingdom
0,80198859,France
0,80216180,United States
1,80216180,Japan
0,80244846,United States
0,80159876,Japan
0,70091304,United States
0,81169145,United States
0,80244700,Brazil
0,81218074,United States
0,80245262,Singapore
1,80245262,United States
0,80199682,United States
0,80214115,South Korea
0,80203522,United States
0,80097141,United States
0,80107037,India
0,80077402,United States
0,80107219,India
0,60023606,United Kingdom
1,60023606,Germany
2,60023606,Canada
3,60023606,United States
0,80241539,France
0,81026188,United States
0,80080109,United States
0,80993625,Thailand
0,80988835,Spain
0,80208104,Australia
1,80208104,Canada
0,80134827,United States
0,80127558,United States
0,80158084,United States
0,80124725,Mexico
0,70267398,Australia
1,70267398,France
0,80108983,United States
0,292118,United States
0,70003046,United States
0,80221584,United States
0,70053833,United States
0,70122722,United States
0,81217738,India
0,80081990,United States
0,60004471,United States
0,60022413,United States
0,81011957,Germany
0,70058022,United States
0,60022502,United States
0,80244683,Mexico
0,80028357,Germany
1,80028357,United Kingdom
0,81217739,India
0,60031884,Italy
1,60031884,United States
0,70117289,United States
0,28631236,United States
0,70121502,United States
1,70121502,New Zealand
2,70121502,United Kingdom
0,70215455,United States
0,506464,United States
0,60003508,United States
0,70105132,United States
0,60004083,United States
0,70087538,United Kingdom
1,70087538,Germany
2,70087538,United States
0,1181661,United States
1,1181661,Germany
0,60011552,United States
0,80222157,France
0,70044693,United States
0,70173046,United States
0,70039187,United States
0,70044686,United States
0,80989043,United States
0,81021831,Indonesia
0,81021832,Indonesia
0,80201866,United States
0,80239932,United States
0,81215856,United States
0,81214223,United States
0,80045925,United States
0,80027560,United States
1,80027560,Canada
0,70135899,United States
1,70135899,Australia
2,70135899,Mexico
0,81215437,United States
0,81215438,United States
1,81215438,South Korea
2,81215438,Japan
0,81214187,United States
1,81214187,Canada
0,80160987,United States
0,81215439,United States
0,70178618,United States
0,70292700,United States
1,70292700,Canada
0,81214214,United States
0,81020531,Brazil
0,80191051,United States
0,80242446,United States
0,80241877,Thailand
0,80085566,France
1,80085566,Iran
2,80085566,United States
0,80124722,United States
0,70243696,United Kingdom
0,70243692,United Kingdom
1,70243692,Australia
2,70243692,Canada
3,70243692,United States
0,81073633,United States
0,81105522,Argentina
0,70230138,United States
0,70083532,United States
0,80177865,South Korea
0,80117534,United States
0,80115031,France
1,80115031,Qatar
0,80120640,Colombia
0,80029708,United Kingdom
0,80079470,United States
